*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ay-pong-big-crystal_flipflop_3
*Date=17:48:00
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;3.38657;-43.0479;0;Bottom;Via15
2;;DIP16 [THT];50.859;-58.1889;-90;Bottom;U2
3;220;THT;27.9868;-11.2744;0;Bottom;R10
4;1µF;100 mil [THT, electrolytic];29.0407;-24.8114;0;Bottom;C9
5;;;6.61375;-54.6085;90;Bottom;TXT8
6;;;75.4481;-58.0423;0;Bottom;TXT8
7;220;THT;78.232;-69.3884;0;Bottom;R17
8;220;THT;89.8539;-54.7222;0;Bottom;R6
9;;;50.6872;-58.1137;0;Bottom;TXT5
10;;;3.2384;-59.9236;0;Bottom;Via7
11;;;22.6158;-26.775;0;Bottom;Via12
12;;;28.9426;-77.2907;0;Bottom;Via22
13;;;19.3603;-48.8428;0;Bottom;Via28
14;;;31.5331;-69.3031;90;Bottom;TXT8
15;;;1.93792;-1.93743;0;Bottom;Hole4
16;;;72.3512;-7.90654;0;Bottom;TXT8
17;;;22.8924;-14.8728;0;Bottom;Via4
18;1µF;100 mil [THT, electrolytic];82.0203;-63.8043;180;Bottom;C3
19;;;58.8859;-26.0832;0;Bottom;Via13
20;;;76.6832;-24.431;0;Bottom;TXT2
21;;;10.233;-70.2938;90;Bottom;Power plug1
22;;;69.9182;-75.2776;0;Bottom;Via3
23;;;92.4812;-62.9947;0;Bottom;TXT8
24;;;82.2662;-60.4237;0;Bottom;TXT8
25;;;74.563;-66.9757;0;Bottom;TXT8
26;;THT;87.7459;-11.8453;0;Bottom;R2
27;;;3.24405;-70.5781;0;Bottom;Via6
28;;DIP (Dual Inline) [THT];78.523;-39.2401;-90;Bottom;IC2
29;;;44.5064;-38.979;0;Bottom;TXT4
30;;;38.7772;-61.9378;0;Bottom;Via26
31;;;50.9693;-74.3556;0;Bottom;TXT9
32;220;THT;75.1247;-58.1795;0;Bottom;R5
33;;;76.575;-21.4098;0;Bottom;TXT1
34;220;THT;72.1865;-11.5687;0;Bottom;R12
35;220;THT;75.3014;-51.8258;0;Bottom;R4
36;;;23.3196;-73.0614;0;Bottom;TXT3
37;;;51.0852;-26.0226;0;Bottom;Via14
38;;;23.2691;-53.2312;0;Bottom;TXT8
39;220;THT;89.7656;-51.7568;0;Bottom;R7
40;;THT;45.8758;-50.4592;-90;Bottom;J9
41;220;THT;31.6653;-69.5766;90;Bottom;R16
42;;;86.2047;-20.1405;0;Bottom;Via27
43;;;97.9875;-35.5219;0;Bottom;Hole5
44;;DIP (Dual Inline) [THT];44.9467;-39.348;-90;Bottom;IC1
45;;;90.0147;-51.6084;0;Bottom;TXT8
46;1µF;100 mil [THT, electrolytic];38.895;-8.10248;180;Bottom;C6
47;;;35.3908;-69.0764;90;Bottom;TXT8
48;;THT;44.6741;-21.0664;0;Bottom;J5
49;;;75.5319;-54.7968;0;Bottom;TXT8
50;;THT;75.885;-75.8013;-90;Bottom;J2
51;;;78.5101;-69.4078;0;Bottom;TXT8
52;;;77.3254;-17.3981;0;Bottom;Via5
53;220;THT;6.65339;-54.8187;90;Bottom;R18
54;;TO220 [THT];13.8444;-57.5841;0;Bottom;Q1
55;;dipswitch-02;12.5662;-35.2537;-90;Bottom;SW2
56;;;98.0817;-78.0433;0;Bottom;Hole2
57;;5 mm [THT];12.375;-50.066;0;Bottom;LED1
